id,createdAt,updatedAt,handle,name,slug,teamId,height,weight,number,position
101150,2021-03-26 04:41:02.185,2021-03-26 04:41:02.185,101150,Lou Williams,lou-williams,1610612746,6-1,175,23,G
226,2021-03-26 04:41:02.191,2021-03-26 04:41:02.191,2747,JR Smith,jr-smith,1610612747,6-6,220,21,G
1629719,2021-03-26 04:41:02.196,2021-03-26 04:41:02.196,1629719,Devontae Cacok,devontae-cacok,1610612747,6-7,240,12,F
1628961,2021-03-26 04:41:02.201,2021-03-26 04:41:02.201,1628961,Kostas Antetokounmpo,kostas-antetokounmpo,1610612747,6-10,200,37,F
1629634,2021-03-26 04:41:02.206,2021-03-26 04:41:02.206,1629634,Brandon Clarke,brandon-clarke,1610612763,6-8,215,15,F
1629639,2021-03-26 04:41:02.212,2021-03-26 04:41:02.212,1629639,Tyler Herro,tyler-herro,1610612748,6-5,195,14,G
2738,2021-03-26 04:41:02.217,2021-03-26 04:41:02.217,2738,Andre Iguodala,andre-iguodala,1610612748,6-6,215,28,G-F
1629130,2021-03-26 04:41:02.222,2021-03-26 04:41:02.222,1629130,Duncan Robinson,duncan-robinson,1610612748,6-7,215,55,F
202339,2021-03-26 04:41:02.227,2021-03-26 04:41:02.227,202339,Eric Bledsoe,eric-bledsoe,1610612740,6-1,214,5,G
293,2021-03-26 04:41:02.232,2021-03-26 04:41:02.232,1628980,Jacob Evans,jacob-evans,1610612750,6-4,210,12,G-F
1629650,2021-03-26 04:41:02.237,2021-03-26 04:41:02.237,1629650,Moses Brown,moses-brown,1610612760,7-2,245,9,C
201988,2021-03-26 04:41:02.242,2021-03-26 04:41:02.242,201988,Patty Mills,patty-mills,1610612759,6-1,180,8,G
200746,2021-03-26 04:41:02.247,2021-03-26 04:41:02.247,200746,LaMarcus Aldridge,lamarcus-aldridge,1610612759,6-11,250,12,C-F
1628384,2021-03-26 04:41:02.253,2021-03-26 04:41:02.253,1628384,OG Anunoby,og-anunoby,1610612761,6-7,232,3,F
1629714,2021-03-26 04:41:02.258,2021-03-26 04:41:02.258,1629714,Jarrell Brantley,jarrell-brantley,1610612762,6-5,250,5,F
1628972,2021-03-26 04:41:02.263,2021-03-26 04:41:02.263,1628972,Troy Brown Jr.,troy-brown-jr,1610612764,6-6,215,6,G-F
1628373,2021-03-26 04:41:02.268,2021-03-26 04:41:02.268,1628373,Frank Ntilikina,frank-ntilikina,1610612752,6-4,200,11,G
1626161,2021-03-26 04:41:02.272,2021-03-26 04:41:02.272,1626161,Willie Cauley-Stein,willie-cauley-stein,1610612742,7-0,240,33,C
202692,2021-03-26 04:41:02.277,2021-03-26 04:41:02.277,202692,Alec Burks,alec-burks,1610612752,6-6,214,18,G
1629659,2021-03-26 04:41:02.282,2021-03-26 04:41:02.282,1629659,Talen Horton-Tucker,talen-horton-tucker,1610612747,6-4,234,5,G
1629011,2021-03-26 04:41:02.286,2021-03-26 04:41:02.286,1629011,Mitchell Robinson,mitchell-robinson,1610612752,7-0,240,23,C-F
1629134,2021-03-26 04:41:02.291,2021-03-26 04:41:02.291,1629134,Kendrick Nunn,kendrick-nunn,1610612748,6-2,190,25,G
356,2021-03-26 04:41:02.296,2021-03-26 04:41:02.296,1629126,Deonte Burton,deonte-burton,1610612760,6-4,240,30,G-F
1629652,2021-03-26 04:41:02.301,2021-03-26 04:41:02.301,1629652,Luguentz Dort,luguentz-dort,1610612760,6-3,215,5,G
345,2021-03-26 04:41:02.306,2021-03-26 04:41:02.306,1628987,Kevin Hervey,kevin-hervey,1610612760,6-9,230,15,F
203487,2021-03-26 04:41:02.311,2021-03-26 04:41:02.311,203487,Michael Carter-Williams,michael-carter-williams,1610612753,6-5,190,7,G
