id,createdAt,updatedAt,handle,name,teamId,type,isAssistant
384,2021-03-26 19:04:40.785,2021-03-26 19:05:43.925,384,Calbert Cheaney,1610612754,Assistant Coach,2
203764,2021-03-26 19:04:40.787,2021-03-26 19:05:43.932,203764,Tyler Marsh,1610612754,Assistant Coach,2
1271,2021-03-26 19:04:40.57,2021-03-26 19:05:44.223,1271,Larry Drew,1610612746,Assistant Coach,2
2010,2021-03-26 19:04:40.633,2021-03-26 19:05:44.239,2010,Jasen Powell,1610612746,Trainer,3
203797,2021-03-26 19:04:40.575,2021-03-26 19:05:44.779,203797,Brad Jones,1610612763,Assistant Coach,2
204011,2021-03-26 19:04:40.636,2021-03-26 19:05:44.786,204011,Darko Rajakovic,1610612763,Assistant Coach,2
2406,2021-03-26 19:04:40.697,2021-03-26 19:05:45.04,2406,Caron Butler,1610612748,Assistant Coach,2
204224,2021-03-26 19:04:40.578,2021-03-26 19:05:45.292,204224,Ben Sullivan,1610612749,Assistant Coach,2
204225,2021-03-26 19:04:40.639,2021-03-26 19:05:45.299,204225,Charles Lee,1610612749,Assistant Coach,2
452,2021-03-26 19:04:40.641,2021-03-26 19:05:45.325,452,Vin Baker,1610612749,Assistant Coach,2
1277,2021-03-26 19:04:40.582,2021-03-26 19:05:45.779,1277,Stan Van Gundy,1610612740,Head Coach,1
201676,2021-03-26 19:04:40.646,2021-03-26 19:05:45.785,201676,Fred Vinson,1610612740,Assistant Coach,2
100101,2021-03-26 19:04:40.727,2021-03-26 19:05:45.798,100101,Teresa Weatherspoon,1610612740,Assistant Coach,2
777,2021-03-26 19:04:40.729,2021-03-26 19:05:45.831,777,Rex Walters,1610612740,Assistant Coach,2
1630382,2021-03-26 19:04:40.731,2021-03-26 19:05:45.837,1630382,Tom Maystadt,1610612740,Trainer,3
1285,2021-03-26 19:04:40.679,2021-03-26 19:05:46.085,1285,Mike Woodson,1610612752,Assistant Coach,2
1627341,2021-03-26 19:04:40.565,2021-03-26 19:05:46.637,1627341,Mike Batiste,1610612753,Assistant Coach,2
1627164,2021-03-26 19:04:40.567,2021-03-26 19:05:46.682,1627164,Bruce Kreutzer,1610612753,Assistant Coach,2
1628228,2021-03-26 19:04:40.543,2021-03-26 19:05:47.219,1628228,Willie Green,1610612756,Assistant Coach,2
101173,2021-03-26 19:04:40.577,2021-03-26 19:05:47.228,101173,Mark Bryant,1610612756,Assistant Coach,2
1628240,2021-03-26 19:04:40.58,2021-03-26 19:05:47.438,1628240,John McCullough,1610612757,Assistant Coach,2
1627471,2021-03-26 19:04:40.585,2021-03-26 19:05:47.469,1627471,Jim Moran,1610612757,Assistant Coach,2
204012,2021-03-26 19:04:40.545,2021-03-26 19:05:47.699,204012,Luke Walton,1610612758,Head Coach,1
203605,2021-03-26 19:04:40.587,2021-03-26 19:05:47.745,203605,Jesse Mermuys,1610612758,Assistant Coach,2
202985,2021-03-26 19:04:40.589,2021-03-26 19:05:47.785,202985,Bobby Jackson,1610612758,Assistant Coach for Player Development,12
204019,2021-03-26 19:04:40.591,2021-03-26 19:05:48.073,204019,Becky Hammon,1610612759,Assistant Coach,2
1628181,2021-03-26 19:04:40.596,2021-03-26 19:05:48.079,1628181,Will Hardy,1610612759,Assistant Coach,2
1264,2021-03-26 19:04:40.592,2021-03-26 19:05:48.086,1264,Will Sevening,1610612759,Trainer,3
1629761,2021-03-26 19:04:40.622,2021-03-26 19:05:48.297,1629761,Fab Flournoy,1610612761,Assistant Coach,2
201878,2021-03-26 19:04:40.597,2021-03-26 19:05:48.321,201878,Adrian Griffin,1610612761,Assistant Coach,2
1630282,2021-03-26 19:04:40.547,2021-03-26 19:05:48.544,1630282,Sergi Oliva,1610612762,Assistant Coach,2
2039,2021-03-26 19:04:40.62,2021-03-26 19:05:48.55,2039,Keyon Dooling,1610612762,Assistant Coach,2
725,2021-03-26 19:04:40.626,2021-03-26 19:05:48.576,725,Dell Demps,1610612762,Assistant Coach,2
204007,2021-03-26 19:04:40.673,2021-03-26 19:05:48.583,204007,Alex Jensen,1610612762,Assistant Coach,2
1626233,2021-03-26 19:04:40.647,2021-03-26 19:05:48.59,1626233,Jeff Watkinson,1610612762,Assistant Coach,2
1628216,2021-03-26 19:04:40.676,2021-03-26 19:05:48.596,1628216,Bryan Bailey,1610612762,Assistant Coach,2
1630281,2021-03-26 19:04:40.681,2021-03-26 19:05:48.631,1630281,Lamar Skeeter,1610612762,Assistant Coach,2
1997,2021-03-26 19:04:40.671,2021-03-26 19:05:48.637,1997,Mike Wells,1610612762,Assistant Coach,2
101277,2021-03-26 19:04:40.674,2021-03-26 19:05:48.65,101277,Brian Zettler,1610612762,Trainer,3
2623,2021-03-26 19:04:40.736,2021-03-26 19:05:48.873,2623,Scott Brooks,1610612764,Head Coach,1
1655,2021-03-26 19:04:40.737,2021-03-26 19:05:48.88,1655,Tony Brown,1610612764,Associate Head Coach,9
1630364,2021-03-26 19:04:40.739,2021-03-26 19:05:48.886,1630364,David Atkins,1610612764,Assistant Coach,2
201665,2021-03-26 19:04:40.741,2021-03-26 19:05:48.893,201665,MIke Longabardi,1610612764,Assistant Coach,2
202105,2021-03-26 19:04:40.768,2021-03-26 19:05:48.9,202105,Robert Pack,1610612764,Assistant Coach,2
